Wyciąg z karty flotowej — dane przykładowe;;;;;;
Okres: 2026-08-03 – 2026-08-07;;;;;;
;;;;;;
DATA;GODZINA;DYSTRYBUTOR;NR._REJESTRACYJNY;PRZEBIEG;OPERATOR;ILOSC
2026-08-03;06:14;3;KR 1A234;184320;Jan Przykładowy;62,40
2026-08-03;07:02;1;NS 9C012;98150;Anna Wzorcowa;48,10
2026-08-03;15:47;3;KR 1A234;184515;Jan Przykładowy;58,90
2026-08-04;05:58;2;KR 5B678;241880;Piotr Modelowy;71,25
2026-08-04;09:31;1;NS 3D456;53240;Ewa Próbna;39,80
2026-08-04;17:12;4;KR 8Z999;12400;Marek Okazowy;44,00
2026-08-05;06:41;2;WA 7E890;309470;Tomasz Demowski;80,15
2026-08-05;13:20;1;NS 9C012;97980;Anna Wzorcowa;51,60
2026-08-06;06:05;3;KR 5B678;242610;Piotr Modelowy;66,30
2026-08-06;14:55;4;NS 3D456;53910;Ewa Próbna;42,70
2026-08-07;07:18;2;WA 7E890;310240;Tomasz Demowski;77,05
2026-08-07;16:03;3;KR 1A234;185090;Jan Przykładowy;60,00
